,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
0,1469889000,Jul 30 2016 - 2:30pm,complete,18427,Zenit,Lokomotiv Moskva,,0.0,0.0,2.4,1.53,0,0,0,0,0,0,,,4,2,1,0,3,0,0,1,1,2,14,4,3,2,11,2,17,21,66,34,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Petrovskiy
1,1469898000,Jul 30 2016 - 5:00pm,complete,16500,Anzhi Makhachkala,CSKA Moskva,,0.0,0.0,1.0,2.0,0,0,0,0,0,0,,,2,4,2,0,0,0,0,2,0,0,3,16,0,8,3,8,21,21,41,59,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anzhi-Arena
2,1469903400,Jul 30 2016 - 6:30pm,complete,6000,Rostov,Orenburg,,0.0,0.0,2.47,0.47,1,0,1,0,0,0,83,,8,3,1,0,3,1,0,1,0,4,11,7,4,4,7,3,15,18,62,38,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Olimp 2 (Rostov-na-Donu)
3,1469968200,Jul 31 2016 - 12:30pm,complete,7850,Ural,Ufa,,0.0,0.0,1.33,1.4,2,0,2,2,2,0,"5,43",,2,3,1,0,2,0,1,0,2,0,9,9,5,3,4,6,10,16,43,57,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SKB-Bank Arena (Ekaterinburg)
4,1469977200,Jul 31 2016 - 3:00pm,complete,28052,Spartak Moskva,Arsenal Tula,,0.0,0.0,2.8,0.2,4,0,4,2,2,0,"6,34,47,90'2",,5,6,1,0,0,0,0,1,0,0,12,10,7,4,5,6,10,14,54,46,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Otkrytiye Arena
5,1469986200,Jul 31 2016 - 5:30pm,complete,18783,Akhmat Grozny,Krylya Sovetov,,0.0,0.0,1.73,0.8,1,0,1,0,0,0,75,,5,2,1,0,2,0,0,1,1,1,11,8,5,5,6,3,10,17,65,35,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Akhmat Arena
6,1470069000,Aug 01 2016 - 4:30pm,complete,12178,Rubin Kazan,Amkar Perm,,0.0,0.0,1.47,0.67,0,0,0,0,0,0,,,3,5,2,1,3,0,3,0,1,2,5,9,2,4,3,5,15,17,52,48,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central'nyj stadion Kazan' (Kazan')
7,1470069000,Aug 01 2016 - 4:30pm,complete,7198,Krasnodar,Tom' Tomsk,,0.0,0.0,2.0,0.2,3,0,3,1,1,0,"44,57,60",,6,3,1,0,3,1,1,0,0,4,9,11,2,3,7,8,13,16,63,37,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Kuban'
8,1470492000,Aug 06 2016 - 2:00pm,complete,7800,Ufa,Zenit,,0.0,0.0,1.47,1.67,0,0,0,0,0,0,,,4,4,1,0,4,0,0,1,0,4,10,7,5,2,5,5,17,16,36,64,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Neftyanik (Ufa)
9,1470501000,Aug 06 2016 - 4:30pm,complete,11500,Arsenal Tula,Rubin Kazan,,0.0,0.0,1.67,1.07,1,0,1,1,1,0,21,,1,2,1,0,3,0,0,1,1,2,9,13,4,6,5,7,14,14,41,59,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Arsenal
10,1470574800,Aug 07 2016 - 1:00pm,complete,5600,Orenburg,CSKA Moskva,,0.0,1.0,1.53,2.0,0,1,1,0,0,0,,84,3,5,2,0,1,0,0,2,0,1,4,9,0,4,4,5,12,8,37,63,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Gazovik
11,1470576600,Aug 07 2016 - 1:30pm,complete,8800,Amkar Perm,Anzhi Makhachkala,,0.0,0.0,1.67,1.0,2,0,2,1,1,0,"31,88",,2,2,2,0,3,1,0,2,2,2,11,6,7,3,4,3,9,15,48,52,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Zvezda
12,1470585600,Aug 07 2016 - 4:00pm,complete,8103,Lokomotiv Moskva,Tom' Tomsk,,0.0,0.0,1.27,0.2,2,2,4,2,2,0,"13,33","76,85",7,2,0,0,4,0,0,0,2,2,14,7,6,5,8,2,15,18,57,43,0.0,0.0,1.5,0,50,50,0,0,0,50,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Lokomotiv
13,1470594600,Aug 07 2016 - 6:30pm,complete,8494,Rostov,Ural,,3.0,0.0,2.47,0.67,0,0,0,0,0,0,,,0,2,2,1,4,0,3,0,2,2,4,6,0,5,4,1,9,19,42,58,0.0,0.0,0.5,0,0,0,0,0,0,0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Olimp 2 (Rostov-na-Donu)
14,1470673800,Aug 08 2016 - 4:30pm,complete,17449,Spartak Moskva,Krylya Sovetov,,3.0,0.0,2.8,0.8,1,0,1,0,0,0,70,,4,3,1,0,0,0,0,1,0,0,24,11,11,5,13,6,12,15,60,40,0.0,0.0,2.5,0,50,50,50,0,50,50,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Otkrytiye Arena
15,1470673800,Aug 08 2016 - 4:30pm,complete,7930,Krasnodar,Akhmat Grozny,,3.0,0.0,2.0,1.47,4,0,4,1,1,0,"33,54,77,88",,3,5,3,0,2,0,2,1,0,2,8,7,6,5,2,2,14,14,50,50,0.0,0.0,1.5,0,50,50,0,0,0,50,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Kuban'
16,1471019400,Aug 12 2016 - 4:30pm,complete,17967,Zenit,Rostov,,1.0,0.0,2.4,0.73,3,2,5,2,0,2,"50,72,85","8,14",9,1,5,0,3,1,3,2,3,1,9,4,3,0,6,4,13,15,74,26,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Petrovskiy
17,1471091400,Aug 13 2016 - 12:30pm,complete,8800,Ural,CSKA Moskva,,3.0,2.0,1.33,2.0,0,1,1,0,0,0,,90'4,0,3,1,0,0,0,1,0,0,0,9,10,4,5,5,5,6,12,32,68,0.0,0.0,1.25,0,50,0,0,0,50,50,6.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SKB-Bank Arena (Ekaterinburg)
18,1471100400,Aug 13 2016 - 3:00pm,complete,9012,Krylya Sovetov,Krasnodar,,0.0,0.0,1.07,1.27,1,1,2,1,1,0,3,52,7,2,2,0,0,0,1,1,0,0,9,16,6,7,3,9,15,8,45,55,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Metallurg (Samara)
19,1471109400,Aug 13 2016 - 5:30pm,complete,17339,Rubin Kazan,Spartak Moskva,,1.0,0.0,1.47,1.8,1,1,2,2,1,1,45'1,21,1,10,3,0,3,0,1,2,1,2,7,8,3,4,4,4,13,18,38,62,0.0,0.0,0.0,0,0,0,0,0,0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central'nyj stadion Kazan' (Kazan')
20,1471177800,Aug 14 2016 - 12:30pm,complete,6873,Tom' Tomsk,Ufa,,0.0,0.0,0.73,1.4,1,0,1,1,1,0,9,,5,5,2,0,2,0,0,2,1,1,6,8,2,4,4,4,19,23,48,52,0.0,0.0,1.0,0,50,0,0,0,50,50,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Trud (Tomsk)
21,1471194000,Aug 14 2016 - 5:00pm,complete,7300,Anzhi Makhachkala,Arsenal Tula,,1.0,0.0,1.0,0.2,1,0,1,1,1,0,45'2,,3,4,5,0,2,0,2,3,0,2,8,10,4,6,4,4,13,12,50,50,0.0,0.0,2.0,0,50,50,50,0,50,50,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anzhi-Arena
22,1471195800,Aug 14 2016 - 5:30pm,complete,14720,Akhmat Grozny,Lokomotiv Moskva,,3.0,1.0,1.73,1.53,1,1,2,2,1,1,5,35,4,4,2,0,3,1,1,1,2,2,7,5,2,2,5,3,9,12,48,52,0.0,0.0,0.5,0,0,0,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Akhmat Arena
23,1471271400,Aug 15 2016 - 2:30pm,complete,5083,Orenburg,Amkar Perm,,0.0,1.0,1.53,0.67,0,0,0,0,0,0,,,6,1,3,0,3,0,1,2,1,2,9,3,3,0,6,3,14,22,58,42,0.0,0.0,0.5,0,0,0,0,0,0,0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Gazovik
24,1471624200,Aug 19 2016 - 4:30pm,complete,8572,Rubin Kazan,Anzhi Makhachkala,,1.0,0.0,1.47,1.0,1,2,3,2,1,1,34,"42,54",5,2,0,0,3,0,0,0,0,3,15,11,6,7,9,4,8,19,61,39,0.0,0.0,1.5,25,75,0,0,0,25,75,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central'nyj stadion Kazan' (Kazan')
25,1471692600,Aug 20 2016 - 11:30am,complete,4800,Ufa,Akhmat Grozny,,1.0,0.0,1.47,1.47,1,3,4,0,0,0,75,"48,87,89",11,3,3,0,3,0,1,2,1,2,8,5,3,3,5,2,19,19,63,37,0.0,0.0,2.0,0,50,50,50,0,0,50,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Neftyanik (Ufa)
26,1471701600,Aug 20 2016 - 2:00pm,complete,17678,Zenit,CSKA Moskva,,2.0,2.33,2.4,2.0,1,1,2,2,1,1,45,24,6,3,2,0,3,0,1,1,3,0,8,11,4,3,4,8,9,16,58,42,0.0,0.0,1.59,25,25,25,25,25,25,25,10.5,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Petrovskiy
27,1471717800,Aug 20 2016 - 6:30pm,complete,7971,Rostov,Tom' Tomsk,,2.0,0.5,2.47,0.2,3,0,3,2,2,0,"17,45,52",,3,4,2,0,3,0,0,2,1,2,7,10,3,3,4,7,20,20,48,52,0.0,0.0,2.0,25,50,50,25,0,25,50,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Olimp 2 (Rostov-na-Donu)
28,1471782600,Aug 21 2016 - 12:30pm,complete,7900,Amkar Perm,Ural,,3.0,1.0,1.67,0.67,1,0,1,0,0,0,63,,3,2,0,0,0,0,0,0,0,0,5,8,0,3,5,5,9,6,61,39,0.0,0.0,1.0,0,50,0,0,0,0,50,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Zvezda
29,1471791600,Aug 21 2016 - 3:00pm,complete,31035,Spartak Moskva,Krasnodar,,3.0,1.0,2.8,1.27,2,0,2,1,1,0,"15,74",,4,6,3,0,1,0,0,3,0,1,12,8,4,4,8,4,13,13,44,56,0.0,0.0,2.25,50,75,25,25,0,25,75,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Otkrytiye Arena
30,1471800600,Aug 21 2016 - 5:30pm,complete,9107,Lokomotiv Moskva,Krylya Sovetov,,1.0,0.0,1.27,0.8,0,0,0,0,0,0,,,6,2,2,0,2,0,1,1,1,1,14,9,8,4,6,5,12,7,65,35,0.0,0.0,2.5,50,50,50,50,0,50,50,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Lokomotiv
31,1471883400,Aug 22 2016 - 4:30pm,complete,10900,Arsenal Tula,Orenburg,,3.0,0.0,1.67,0.47,0,0,0,0,0,0,,,2,4,2,0,3,1,1,1,1,3,7,7,2,3,5,4,10,12,64,36,0.0,0.0,1.0,0,0,0,0,0,0,50,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Arsenal
32,1472225400,Aug 26 2016 - 3:30pm,complete,9082,Krylya Sovetov,Ufa,,1.0,0.0,1.07,1.4,0,1,1,0,0,0,,83,6,2,1,0,5,1,0,1,0,6,3,3,3,2,0,1,13,24,62,38,0.0,0.0,1.75,50,75,0,0,0,25,100,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Metallurg (Samara)
33,1472292000,Aug 27 2016 - 10:00am,complete,5825,Orenburg,Rubin Kazan,,0.5,0.0,1.53,1.07,1,1,2,1,1,0,45'1,90'1,0,7,4,0,1,0,2,2,1,0,8,12,3,5,5,7,22,14,45,55,0.0,0.0,0.75,0,0,0,0,0,0,50,6.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Gazovik
34,1472301000,Aug 27 2016 - 12:30pm,complete,8250,Tom' Tomsk,CSKA Moskva,,3.0,2.0,0.73,2.0,0,1,1,0,0,0,,54,7,10,2,1,2,0,0,3,0,2,7,8,3,5,4,3,7,15,55,45,0.0,0.0,1.0,13,13,0,0,0,13,63,8.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Trud (Tomsk)
35,1472310000,Aug 27 2016 - 3:00pm,complete,17864,Zenit,Amkar Perm,,1.67,1.0,2.4,0.67,3,0,3,2,2,0,"22,32,89",,9,1,0,0,0,0,0,0,0,0,12,2,6,2,6,0,7,11,67,33,0.0,0.0,1.17,34,34,17,17,17,34,34,9.33,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Petrovskiy
36,1472392800,Aug 28 2016 - 2:00pm,complete,6556,Ural,Arsenal Tula,,1.5,0.0,1.33,0.2,1,1,2,0,0,0,87,48,6,2,0,0,3,0,0,0,0,3,12,3,7,2,5,1,7,14,63,37,0.0,0.0,2.0,0,50,25,25,0,50,75,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SKB-Bank Arena (Ekaterinburg)
37,1472400900,Aug 28 2016 - 4:15pm,complete,14372,Akhmat Grozny,Rostov,,2.0,0.0,1.73,0.73,2,1,3,3,2,1,"33,35",31,7,4,2,0,4,1,1,1,1,4,6,5,3,3,3,2,10,20,47,53,0.0,0.0,3.25,75,75,50,50,50,75,75,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Akhmat Arena
38,1472400900,Aug 28 2016 - 4:15pm,complete,12780,Krasnodar,Lokomotiv Moskva,,3.0,1.0,2.0,1.53,1,2,3,1,0,1,48,"41,56",5,6,1,0,3,0,0,1,1,2,9,8,3,5,6,3,21,24,59,41,0.0,0.0,2.25,25,75,50,25,0,25,75,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Kuban'
39,1472409000,Aug 28 2016 - 6:30pm,complete,14300,Anzhi Makhachkala,Spartak Moskva,,2.0,1.0,1.0,1.8,0,2,2,1,0,1,,"18,81",11,5,4,0,3,1,0,4,1,3,13,14,2,6,11,8,17,16,53,47,0.0,0.0,1.25,50,50,0,0,0,50,75,12.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anzhi-Arena
40,1473440400,Sep 09 2016 - 5:00pm,complete,14800,Rostov,Krylya Sovetov,,2.33,0.33,2.47,0.8,2,1,3,1,1,0,"33,59",54,4,4,3,0,3,0,1,2,0,3,4,16,3,8,1,8,17,16,42,58,0.0,0.0,1.0,0,17,17,0,0,17,17,6.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Olimp 2 (Rostov-na-Donu)
41,1473510600,Sep 10 2016 - 12:30pm,complete,6500,Amkar Perm,Tom' Tomsk,,3.0,0.33,1.67,0.2,1,0,1,0,0,0,47,,6,7,2,0,1,0,1,1,0,1,8,7,3,3,5,4,23,8,46,54,0.0,0.0,2.42,17,75,50,17,0,34,75,5.5,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Zvezda
42,1473519600,Sep 10 2016 - 3:00pm,complete,5012,Orenburg,Anzhi Makhachkala,,0.67,1.5,1.53,1.0,0,0,0,0,0,0,,,6,4,2,0,2,0,0,2,1,1,6,4,3,0,3,4,15,16,50,50,0.0,0.0,1.75,42,67,25,0,0,25,67,5.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Gazovik
43,1473528600,Sep 10 2016 - 5:30pm,complete,26420,CSKA Moskva,Akhmat Grozny,,0.0,1.5,2.13,1.47,3,0,3,2,2,0,"26,38,76",,3,1,1,0,1,1,1,0,1,1,8,8,4,4,4,4,19,10,60,40,0.0,0.0,2.0,25,50,50,50,0,0,25,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEB Arena
44,1473591600,Sep 11 2016 - 11:00am,complete,5800,Ufa,Krasnodar,,0.5,0.5,1.47,1.27,0,0,0,0,0,0,,,5,7,3,0,1,0,0,3,0,1,4,11,2,6,2,5,17,19,41,59,0.0,0.0,2.0,50,75,25,25,0,0,50,11.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Neftyanik (Ufa)
45,1473600600,Sep 11 2016 - 1:30pm,complete,43710,Spartak Moskva,Lokomotiv Moskva,,3.0,1.67,2.8,1.53,1,0,1,1,1,0,25,,3,6,0,0,1,0,0,0,0,1,14,4,8,2,6,2,12,11,47,53,0.0,0.0,2.0,34,67,33,17,0,33,67,8.33,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Otkrytiye Arena
46,1473609600,Sep 11 2016 - 4:00pm,complete,18200,Arsenal Tula,Zenit,,2.0,1.0,1.67,1.67,0,5,5,2,0,2,,"18,38,66,84,89",1,3,0,0,0,0,0,0,0,0,10,10,4,6,6,4,14,6,40,60,0.0,0.0,0.25,0,0,0,0,0,0,25,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Arsenal
47,1473697800,Sep 12 2016 - 4:30pm,complete,5399,Rubin Kazan,Ural,,0.67,0.5,1.47,0.67,3,1,4,1,1,0,"29,70,76",87,10,4,1,0,2,0,1,0,1,1,13,8,6,6,7,2,4,17,58,42,0.0,0.0,1.09,34,34,17,0,0,34,34,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central'nyj stadion Kazan' (Kazan')
48,1474034400,Sep 16 2016 - 2:00pm,complete,7043,Orenburg,Spartak Moskva,,0.75,2.0,1.53,1.8,1,3,4,2,1,1,41,"2,66,69",5,2,5,0,4,0,2,3,2,2,2,4,2,0,0,4,15,16,48,52,0.0,0.0,1.38,38,63,0,0,0,25,63,11.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Gazovik
49,1474110000,Sep 17 2016 - 11:00am,complete,4250,Tom' Tomsk,Arsenal Tula,,1.5,0.33,0.73,0.2,1,0,1,1,1,0,25,,10,4,0,0,3,0,0,0,0,3,3,9,2,3,1,6,21,12,37,63,0.0,0.0,1.67,17,34,17,17,0,17,59,10.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Trud (Tomsk)
50,1474119000,Sep 17 2016 - 1:30pm,complete,4800,Ural,Anzhi Makhachkala,,1.33,1.33,1.33,1.0,0,1,1,1,0,1,,25,5,4,0,0,2,0,0,0,0,2,14,5,5,4,9,1,10,10,57,43,0.0,0.0,1.67,33,67,17,0,0,33,50,5.34,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SKB-Bank Arena (Ekaterinburg)
51,1474128000,Sep 17 2016 - 4:00pm,complete,14735,Akhmat Grozny,Amkar Perm,,2.33,0.67,1.73,0.67,1,3,4,2,1,1,9,"26,51,74",1,6,3,0,4,0,1,2,1,3,8,10,3,2,5,8,14,22,51,49,0.0,0.0,1.5,34,50,33,0,0,50,50,7.66,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Akhmat Arena
52,1474128000,Sep 17 2016 - 4:00pm,complete,9714,Lokomotiv Moskva,Ufa,,1.0,1.0,1.27,1.4,0,1,1,0,0,0,,69,8,1,0,0,3,0,0,0,0,3,15,3,7,0,8,3,18,18,61,39,0.0,0.0,1.67,25,42,25,25,0,42,59,9.83,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Lokomotiv
53,1474208100,Sep 18 2016 - 2:15pm,complete,11083,Krylya Sovetov,CSKA Moskva,,0.5,2.2,1.07,2.0,1,2,3,2,1,1,44,"7,77",3,7,1,0,1,0,0,1,0,1,5,7,2,2,3,5,4,8,47,53,0.0,0.0,1.25,35,35,0,0,0,10,35,11.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Metallurg (Samara)
54,1474218000,Sep 18 2016 - 5:00pm,complete,6425,Krasnodar,Rostov,,2.0,0.0,2.0,0.73,2,1,3,1,0,1,"87,90'4",10,6,2,0,0,2,0,0,0,1,1,2,3,0,0,2,3,2,7,69,31,0.0,0.0,3.67,67,100,100,42,25,50,100,7.17,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Kuban'
55,1474302600,Sep 19 2016 - 4:30pm,complete,17008,Zenit,Rubin Kazan,,2.0,0.5,2.4,1.07,4,1,5,1,1,0,"16,53,59,63",86,2,1,3,0,2,0,0,3,0,2,7,5,2,3,5,2,14,14,51,49,0.0,0.0,2.0,50,63,25,13,13,38,88,11.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Petrovskiy
56,1474725600,Sep 24 2016 - 2:00pm,complete,14080,CSKA Moskva,Krasnodar,,3.0,0.67,2.13,1.27,1,1,2,2,1,1,3,15,6,1,2,0,1,0,1,1,0,1,11,8,5,0,6,8,16,21,56,44,0.0,0.0,2.17,17,84,50,0,0,50,84,8.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEB Arena
